Temperature,Rainfall,Humidity,Moisture,Potassium,Phosphorus,Crop
21,88,32,301,224,42,chile
23,217,79,412,65,151,Rice
14,104,76,591,202,33,Tomato
21,33,52,445,203,249,Wheat
9,49,67,428,335,434,Barley
26,92,30,389,262,45,chile
22,258,72,415,181,59,Rice
15,147,83,516,201,326,Tomato
22,95,50,433,166,283,Wheat
17,48,67,414,350,375,Barley
20,96,33,335,278,34,chile
26,306,77,389,65,145,Rice
15,115,89,516,258,253,Tomato
22,32,50,444,274,267,Wheat
15,40,60,408,332,272,Barley
21,93,31,318,283,45,chile
25,261,77,411,89,184,Rice
14,124,85,598,229,126,Tomato
21,30,56,411,278,204,Wheat
17,41,61,394,399,426,Barley
23,104,40,395,189,23,chile
27,293,63,407,104,314,Rice
16,79,79,626,289,203,Tomato
23,57,59,445,314,256,Wheat
16,41,65,382,362,270,Barley
26,93,40,321,191,17,chile
22,228,78,399,167,104,Rice
15,111,80,644,255,214,Tomato
23,47,59,428,354,228,Wheat
22,42,64,394,305,234,Barley
18,110,38,311,265,23,chile
24,312,70,387,218,159,Rice
15,78,88,618,229,133,Tomato
24,71,56,423,317,229,Wheat
21,42,62,420,373,225,Barley
18,104,39,364,220,34,chile
24,300,77,427,118,158,Rice
13,128,75,599,230,342,Tomato
22,68,54,422,284,220,Wheat
18,45,68,392,313,252,Barley
23,84,34,323,216,33,chile
24,210,76,404,89,191,Rice
13,75,89,572,198,247,Tomato
21,51,51,425,207,234,Wheat
7,47,60,429,301,308,Barley
25,114,33,372,195,30,chile
27,230,66,413,190,295,Rice
15,94,77,623,226,88,Tomato
23,33,57,408,241,199,Wheat
13,44,61,409,327,309,Barley
21,90,39,385,219,28,chile
26,310,73,398,164,216,Rice
15,87,85,599,222,58,Tomato
23,94,55,407,234,257,Wheat
15,41,68,420,389,424,Barley
24,85,31,375,255,17,chile
24,223,66,402,264,280,Rice
13,63,83,622,204,279,Tomato
24,63,56,428,149,276,Wheat
19,43,60,428,337,439,Barley
24,86,35,347,283,41,chile
21,265,67,409,203,128,Rice
16,132,76,523,194,260,Tomato
22,41,55,439,227,263,Wheat
7,47,70,406,400,273,Barley
20,96,34,307,265,37,chile
21,318,79,392,215,213,Rice
13,138,80,509,275,303,Tomato
22,78,59,437,313,228,Wheat
23,40,66,398,300,349,Barley
20,84,33,334,311,28,chile
24,316,69,392,158,274,Rice
15,103,77,616,252,238,Tomato
21,79,55,428,162,226,Wheat
26,47,67,392,285,278,Barley
20,100,36,388,300,35,chile
25,236,64,417,59,202,Rice
15,101,79,554,283,223,Tomato
23,34,57,431,123,223,Wheat
21,43,63,407,387,356,Barley
23,96,34,364,252,39,chile
21,200,67,403,129,315,Rice
16,127,75,553,291,209,Tomato
22,33,54,416,148,197,Wheat
6,46,61,418,420,370,Barley
23,108,32,330,265,30,chile
25,323,80,400,123,312,Rice
13,103,85,536,276,34,Tomato
21,100,53,408,323,263,Wheat
22,39,66,419,355,317,Barley
19,100,30,315,194,31,chile
24,231,63,421,195,332,Rice
14,61,89,604,239,266,Tomato
21,91,57,447,112,250,Wheat
12,40,61,409,435,325,Barley
26,113,32,399,252,19,chile
22,320,70,384,248,269,Rice
16,115,80,596,251,179,Tomato
22,97,52,405,302,210,Wheat
19,40,68,430,315,259,Barley
19,87,39,320,281,35,chile
26,221,72,413,199,331,Rice
15,133,89,638,275,60,Tomato
21,36,56,450,311,271,Wheat
22,49,69,395,333,382,Barley
22,90,38,388,239,30,chile
25,267,66,393,164,275,Rice
14,84,86,646,195,92,Tomato
24,72,58,437,177,284,Wheat
26,50,64,399,436,308,Barley
18,110,30,309,220,36,chile
26,305,68,402,238,255,Rice
16,87,85,622,195,54,Tomato
24,37,50,424,374,252,Wheat
15,44,62,397,444,428,Barley
19,105,30,385,297,44,chile
26,244,77,404,98,86,Rice
15,81,75,567,249,295,Tomato
23,98,54,407,264,273,Wheat
24,47,62,385,329,341,Barley
18,101,33,350,216,40,chile
24,239,75,413,174,276,Rice
15,94,78,472,218,317,Tomato
22,67,55,408,123,278,Wheat
12,49,60,412,380,238,Barley
25,95,34,308,236,24,chile
23,253,78,421,197,173,Rice
15,87,88,481,257,304,Tomato
22,38,60,434,315,250,Wheat
21,41,60,418,452,399,Barley
23,92,30,398,228,35,chile
26,300,67,415,255,69,Rice
15,77,83,546,273,253,Tomato
22,100,52,435,285,266,Wheat
19,50,64,401,372,391,Barley
18,106,34,322,210,44,chile
22,347,79,419,213,290,Rice
16,146,80,533,229,34,Tomato
24,66,59,437,393,244,Wheat
13,41,60,381,338,329,Barley
25,116,34,326,207,24,chile
21,309,70,386,147,98,Rice
16,83,76,544,251,334,Tomato
23,56,50,426,228,237,Wheat
7,45,65,406,329,407,Barley
26,117,31,390,334,19,chile
23,323,60,396,115,298,Rice
16,143,75,479,287,30,Tomato
22,55,51,435,325,222,Wheat
7,47,62,380,311,283,Barley
21,84,38,392,238,18,chile
24,349,63,391,208,100,Rice
15,75,76,561,267,297,Tomato
22,67,58,449,246,226,Wheat
13,44,69,402,363,371,Barley
24,89,36,300,230,29,chile
26,265,76,401,190,62,Rice
16,98,90,630,244,285,Tomato
21,78,59,438,137,261,Wheat
25,45,68,402,368,274,Barley
24,113,30,352,252,21,chile
22,229,76,419,218,296,Rice
14,132,78,511,278,283,Tomato
21,57,58,426,100,226,Wheat
17,44,62,404,353,298,Barley
25,95,40,334,243,27,chile
24,267,65,430,194,203,Rice
14,109,76,470,220,154,Tomato
23,98,56,443,111,199,Wheat
27,49,70,381,287,277,Barley
19,111,34,353,308,20,chile
27,341,75,404,231,263,Rice
13,62,78,647,248,96,Tomato
24,85,50,444,136,208,Wheat
27,40,65,403,432,250,Barley
21,90,38,300,284,26,chile
25,217,70,418,67,176,Rice
14,131,89,564,194,182,Tomato
24,37,57,417,242,229,Wheat
20,47,62,397,426,287,Barley
19,91,40,377,322,34,chile
23,280,70,401,176,231,Rice
16,99,77,522,262,268,Tomato
23,97,53,436,117,209,Wheat
17,44,70,423,308,391,Barley
18,111,35,392,253,31,chile
25,317,74,417,135,251,Rice
13,131,84,474,200,118,Tomato
24,97,57,445,344,255,Wheat
10,44,69,417,339,350,Barley
24,95,38,324,230,27,chile
21,280,62,384,213,255,Rice
16,108,78,496,281,270,Tomato
24,54,57,412,328,227,Wheat
17,50,64,428,415,352,Barley
26,103,32,359,194,43,chile
27,280,72,418,243,296,Rice
15,128,87,529,268,41,Tomato
21,90,53,401,360,288,Wheat
12,49,68,381,340,406,Barley
25,119,30,349,314,36,chile
25,291,79,389,105,297,Rice
14,123,87,583,252,164,Tomato
23,96,51,440,231,215,Wheat
18,45,61,401,372,316,Barley
24,100,37,372,237,17,chile
22,217,69,393,147,57,Rice
14,75,85,483,235,127,Tomato
21,44,51,423,288,208,Wheat
23,48,67,430,305,414,Barley
25,113,35,302,319,26,chile
21,335,65,408,258,180,Rice
15,125,86,582,274,314,Tomato
23,59,55,429,258,231,Wheat
21,47,65,386,384,267,Barley
19,87,35,358,270,40,chile
24,203,67,401,92,212,Rice
15,117,75,500,224,219,Tomato
24,58,55,404,212,207,Wheat
10,43,68,430,327,377,Barley
20,89,30,318,210,40,chile
26,192,68,425,248,106,Rice
15,70,83,457,288,338,Tomato
23,49,52,423,326,280,Wheat
13,42,61,401,319,245,Barley
18,85,34,308,230,33,chile
23,296,71,400,267,308,Rice
16,109,75,483,253,235,Tomato
24,55,56,444,128,240,Wheat
12,47,67,384,437,233,Barley
22,86,37,341,206,46,chile
27,213,60,412,103,170,Rice
14,102,84,511,212,156,Tomato
24,46,52,410,348,201,Wheat
25,45,64,424,393,264,Barley
18,116,36,337,289,39,chile
22,343,71,420,136,280,Rice
14,82,88,479,277,336,Tomato
22,35,59,431,150,291,Wheat
14,48,64,419,367,330,Barley
24,120,32,337,287,27,chile
21,199,70,401,211,222,Rice
13,111,75,592,256,198,Tomato
23,79,53,434,237,291,Wheat
6,42,70,411,286,347,Barley
26,118,39,324,281,19,chile
27,192,64,394,77,63,Rice
15,134,88,620,231,155,Tomato
21,91,58,447,329,200,Wheat
27,43,66,409,341,348,Barley
23,110,34,392,200,39,chile
26,288,68,390,203,235,Rice
13,60,82,556,229,79,Tomato
24,59,51,440,386,244,Wheat
8,46,64,426,370,267,Barley
21,107,31,306,312,41,chile
24,251,65,401,225,89,Rice
16,117,78,618,263,338,Tomato
24,36,55,403,351,280,Wheat
12,48,65,425,405,266,Barley
24,105,33,313,235,22,chile
27,277,71,411,168,82,Rice
14,66,88,585,251,233,Tomato
21,94,53,436,126,289,Wheat
9,41,69,409,428,221,Barley
23,118,30,333,277,43,chile
24,301,67,416,162,217,Rice
15,103,86,498,257,282,Tomato
22,69,56,444,111,260,Wheat
18,42,65,402,361,313,Barley
25,104,34,390,246,38,chile
27,333,78,400,222,108,Rice
16,90,76,615,289,29,Tomato
24,57,58,423,135,287,Wheat
7,41,62,410,443,327,Barley
24,118,40,310,246,24,chile
26,238,67,414,108,109,Rice
16,147,85,484,229,334,Tomato
22,46,51,442,218,223,Wheat
16,50,69,393,344,222,Barley
24,109,38,392,265,25,chile
22,228,80,396,195,276,Rice
14,149,82,453,209,355,Tomato
23,91,54,404,129,255,Wheat
16,40,61,383,317,398,Barley
22,108,32,373,289,25,chile
25,279,75,414,58,170,Rice
15,143,86,482,214,70,Tomato
22,100,58,403,348,291,Wheat
18,42,66,410,314,431,Barley
26,108,35,356,222,31,chile
23,177,63,424,58,71,Rice
16,100,84,650,221,73,Tomato
24,84,56,439,270,285,Wheat
26,50,63,419,339,438,Barley
26,91,40,343,283,40,chile
24,333,61,384,189,271,Rice
16,90,84,504,216,261,Tomato
21,92,50,442,360,196,Wheat
21,49,64,426,309,382,Barley
21,102,36,354,194,42,chile
26,338,65,396,111,207,Rice
13,139,78,644,237,293,Tomato
23,95,52,448,342,285,Wheat
9,39,70,422,348,408,Barley
25,101,31,353,298,29,chile
22,194,60,394,200,234,Rice
16,123,85,634,190,162,Tomato
21,88,54,422,189,226,Wheat
6,47,66,406,330,323,Barley
20,86,36,350,274,40,chile
21,232,65,412,220,239,Rice
15,63,80,565,245,290,Tomato
23,63,60,437,185,216,Wheat
12,43,67,395,395,340,Barley
20,87,31,372,300,38,chile
26,270,64,430,134,260,Rice
16,83,76,577,212,292,Tomato
21,35,55,440,376,218,Wheat
8,44,64,411,352,323,Barley
25,89,34,321,201,18,chile
26,193,76,389,158,264,Rice
14,76,83,494,208,161,Tomato
21,70,60,442,324,232,Wheat
26,46,64,392,310,318,Barley
24,109,31,389,253,32,chile
22,266,64,407,218,267,Rice
15,87,75,558,254,156,Tomato
22,51,58,433,281,265,Wheat
27,42,64,417,322,430,Barley
25,109,32,384,254,23,chile
21,301,63,404,203,206,Rice
15,83,85,617,207,304,Tomato
21,67,60,448,200,227,Wheat
18,40,60,405,323,246,Barley
24,93,39,325,192,21,chile
21,324,62,411,86,303,Rice
14,66,90,503,277,202,Tomato
23,37,59,436,131,222,Wheat
27,41,62,393,305,301,Barley
25,112,32,399,250,20,chile
21,265,65,416,88,231,Rice
13,83,86,648,292,138,Tomato
24,97,53,439,379,216,Wheat
19,43,64,406,388,374,Barley
25,80,30,372,230,27,chile
23,225,65,388,170,170,Rice
16,60,87,606,280,268,Tomato
24,76,53,422,368,194,Wheat
18,40,66,420,303,305,Barley
20,104,35,348,273,40,chile
26,244,65,390,86,183,Rice
16,82,87,570,218,293,Tomato
23,88,60,417,323,290,Wheat
6,39,67,391,421,374,Barley
24,116,36,369,288,19,chile
24,297,64,406,104,268,Rice
14,138,88,528,259,336,Tomato
23,97,50,418,386,270,Wheat
13,43,67,426,436,350,Barley
21,114,35,398,218,44,chile
21,299,69,388,66,64,Rice
13,108,81,503,212,215,Tomato
23,35,59,443,383,218,Wheat
18,44,60,381,383,292,Barley
23,92,38,364,294,32,chile
24,268,76,415,239,274,Rice
16,111,77,548,204,170,Tomato
21,90,53,448,101,214,Wheat
9,49,63,424,347,374,Barley
23,116,35,330,221,32,chile
21,212,62,408,199,161,Rice
15,81,84,541,231,95,Tomato
22,47,57,405,198,246,Wheat
10,45,68,415,354,413,Barley
25,114,34,372,290,30,chile
21,345,72,410,212,192,Rice
14,123,87,603,293,226,Tomato
24,51,57,426,294,249,Wheat
15,45,64,385,398,369,Barley
24,105,30,372,193,45,chile
22,254,72,399,129,208,Rice
16,141,87,616,232,81,Tomato
24,42,52,408,346,249,Wheat
10,47,69,417,297,433,Barley
22,84,40,368,313,18,chile
24,350,69,418,154,243,Rice
14,82,80,644,262,133,Tomato
23,68,53,403,363,283,Wheat
20,48,68,409,445,276,Barley
20,119,34,383,296,33,chile
27,346,69,427,178,208,Rice
14,148,82,489,240,234,Tomato
21,51,52,429,292,247,Wheat
8,43,67,419,442,297,Barley
23,107,30,353,232,19,chile
25,205,70,420,110,115,Rice
13,115,81,510,197,349,Tomato
23,57,54,436,187,259,Wheat
22,40,66,430,366,298,Barley
26,109,32,327,193,34,chile
24,250,67,417,140,79,Rice
15,98,85,568,272,242,Tomato
24,67,56,444,125,278,Wheat
15,45,70,428,318,312,Barley
21,96,35,309,286,46,chile
27,220,60,425,72,261,Rice
14,107,83,507,277,203,Tomato
21,48,53,419,310,266,Wheat
19,43,60,417,430,436,Barley
19,116,32,382,230,25,chile
23,283,75,409,210,132,Rice
15,131,84,541,209,211,Tomato
21,48,55,419,145,214,Wheat
18,48,62,402,310,283,Barley
26,83,32,307,214,17,chile
26,350,79,423,140,183,Rice
15,129,76,630,249,77,Tomato
21,61,56,405,318,244,Wheat
25,47,63,393,344,367,Barley
25,103,30,324,244,23,chile
22,292,76,427,112,216,Rice
13,99,80,644,267,123,Tomato
21,79,51,440,380,275,Wheat
10,39,68,393,342,237,Barley
26,111,35,322,263,36,chile
24,302,71,422,96,134,Rice
16,127,79,622,281,323,Tomato
22,60,57,446,369,200,Wheat
16,46,64,384,362,306,Barley
24,110,40,351,205,31,chile
21,326,73,402,258,330,Rice
15,88,81,578,250,105,Tomato
23,62,58,405,288,200,Wheat
12,49,60,393,394,358,Barley
20,115,31,333,225,22,chile
27,258,75,430,109,55,Rice
13,64,77,567,269,98,Tomato
23,90,51,420,197,235,Wheat
8,39,61,406,382,401,Barley
19,119,34,300,311,44,chile
26,293,76,420,92,88,Rice
13,128,90,621,262,238,Tomato
22,77,59,430,212,284,Wheat
21,40,62,406,303,301,Barley
21,108,39,342,328,23,chile
27,244,74,428,191,107,Rice
14,83,90,597,222,268,Tomato
23,64,55,448,158,259,Wheat
9,50,64,403,315,317,Barley
21,118,35,315,266,27,chile
25,194,74,413,249,192,Rice
16,129,86,520,239,320,Tomato
21,40,56,414,255,261,Wheat
8,42,69,408,379,325,Barley
24,93,34,326,302,22,chile
21,328,67,393,255,211,Rice
15,141,87,555,191,307,Tomato
21,31,56,411,263,220,Wheat
10,50,67,414,338,282,Barley
19,103,36,393,243,33,chile
27,349,80,426,92,302,Rice
13,73,82,645,226,121,Tomato
21,88,58,445,169,208,Wheat
8,45,69,408,292,226,Barley
23,117,37,336,270,35,chile
25,340,79,411,219,237,Rice
14,119,86,471,281,128,Tomato
24,75,58,420,350,225,Wheat
17,46,63,423,352,277,Barley
26,83,37,323,308,32,chile
26,242,64,409,248,171,Rice
15,88,81,548,283,110,Tomato
23,95,59,408,317,279,Wheat
23,43,61,412,398,283,Barley
24,116,38,375,263,45,chile
26,295,79,397,98,259,Rice
15,139,81,621,241,184,Tomato
23,57,60,414,240,201,Wheat
20,43,60,420,362,307,Barley
22,88,36,340,216,27,chile
27,246,66,396,241,220,Rice
16,130,76,561,202,152,Tomato
22,60,51,443,353,244,Wheat
21,47,65,411,281,246,Barley
18,91,39,376,315,21,chile
27,332,68,421,143,204,Rice
16,85,87,525,207,108,Tomato
22,74,60,405,376,209,Wheat
25,46,64,423,336,302,Barley
20,100,34,399,313,37,chile
25,183,72,398,117,205,Rice
14,113,82,490,250,297,Tomato
22,43,54,400,266,284,Wheat
18,44,62,392,389,320,Barley
21,85,39,338,214,35,chile
24,277,69,420,253,176,Rice
13,127,75,521,232,305,Tomato
21,68,50,403,291,213,Wheat
17,42,69,405,439,276,Barley
18,108,34,388,223,41,chile
24,199,69,428,73,194,Rice
15,131,80,497,247,196,Tomato
21,94,55,420,105,282,Wheat
9,39,61,380,372,383,Barley
25,118,32,348,301,45,chile
27,341,64,419,136,143,Rice
16,120,84,581,235,199,Tomato
24,71,50,403,158,228,Wheat
7,42,68,406,368,243,Barley
20,81,32,334,331,23,chile
24,275,62,401,67,197,Rice
16,71,88,504,277,303,Tomato
24,32,50,429,370,248,Wheat
14,47,70,415,285,322,Barley
20,117,33,338,331,30,chile
24,320,68,414,184,215,Rice
13,70,77,621,217,88,Tomato
24,47,52,445,372,253,Wheat
5,43,60,398,431,353,Barley
18,93,37,399,261,44,chile
21,311,72,427,154,324,Rice
15,147,75,538,283,267,Tomato
24,97,59,436,174,263,Wheat
14,42,61,380,384,236,Barley
19,91,36,337,319,32,chile
24,249,74,384,224,303,Rice
16,83,90,551,236,76,Tomato
21,43,58,430,285,270,Wheat
27,39,60,398,441,381,Barley
19,112,31,341,307,40,chile
26,234,69,403,227,195,Rice
16,97,81,554,271,130,Tomato
23,89,52,437,199,282,Wheat
19,49,68,380,311,225,Barley
23,92,35,382,296,30,chile
22,231,65,415,140,189,Rice
13,127,82,580,196,65,Tomato
22,42,58,420,325,265,Wheat
25,45,68,395,449,401,Barley
25,119,40,395,271,38,chile
24,337,69,416,85,200,Rice
14,138,83,510,279,333,Tomato
23,47,58,416,257,250,Wheat
9,48,64,419,347,295,Barley
23,118,34,397,226,46,chile
22,282,61,423,122,90,Rice
15,102,80,634,207,312,Tomato
21,93,60,424,382,232,Wheat
25,45,66,390,402,351,Barley
23,100,30,376,242,37,chile
24,252,70,417,71,116,Rice
13,150,86,561,210,346,Tomato
21,100,59,424,254,261,Wheat
13,48,61,421,400,396,Barley
24,116,36,358,276,28,chile
24,264,63,392,205,250,Rice
15,149,76,465,283,282,Tomato
22,30,58,419,131,211,Wheat
12,41,64,385,394,253,Barley
24,120,33,301,307,35,chile
21,305,79,415,221,82,Rice
15,92,81,579,205,303,Tomato
22,78,52,409,195,201,Wheat
19,43,63,385,384,361,Barley
21,97,38,369,307,39,chile
25,305,77,426,261,271,Rice
14,132,77,495,189,173,Tomato
22,95,60,419,108,286,Wheat
10,41,62,395,335,343,Barley
19,116,40,383,197,23,chile
22,200,62,414,194,107,Rice
15,83,84,555,229,51,Tomato
24,50,55,423,210,279,Wheat
14,41,63,401,400,256,Barley
19,106,31,381,292,23,chile
22,217,74,428,92,178,Rice
16,109,75,504,237,331,Tomato
21,64,55,446,206,266,Wheat
21,44,64,422,344,242,Barley
19,103,35,349,264,37,chile
27,265,70,383,190,271,Rice
13,140,82,639,292,147,Tomato
24,59,50,403,319,255,Wheat
26,45,70,424,419,291,Barley
